Student Name,Student Number,Project Preferences,GPA
Jenna,1,"42,17,12,12,81,46,59,23,82,31,",0.0
Sarah,2,"12,38,6,31,54,8,52,47,63,54,",0.1
Eddy,3,"66,40,39,2,48,42,21,75,15,50,",2.3
Charlie,4,"54,54,41,55,68,45,54,24,15,33,",2.6
Aida,5,"23,20,19,62,12,63,60,2,41,5,",0.7
Tara,6,"24,25,8,62,17,50,18,73,43,73,",0.1
Sydney,7,"66,60,21,10,36,40,48,24,44,57,",3.9
Stuart,8,"15,49,46,60,17,68,45,62,77,88,",1.3
Wilson,9,"68,28,32,15,85,35,49,10,17,35,",0.3
Lucia,10,"11,28,39,69,71,56,66,22,53,27,",2.4
Tara,11,"61,24,78,6,34,42,66,81,10,69,",0.3
Camila,12,"72,28,44,46,61,29,55,58,69,77,",2.9
Charlie,13,"53,11,88,32,29,58,56,59,27,40,",3.5
Stuart,14,"61,39,54,55,11,47,79,18,32,3,",2.5
Deanna,15,"60,41,27,11,81,33,49,43,40,25,",0.2
Preston,16,"53,72,67,43,54,68,52,29,29,11,",0.7
Freddie,17,"15,52,51,62,4,71,21,52,30,24,",0.7
Penelope,18,"58,38,8,43,45,34,16,67,38,3,",2.3
Briony,19,"87,31,6,42,3,15,25,44,82,51,",0.8
Andrew,20,"2,9,73,27,46,4,68,66,31,21,",4.1
Frederick,21,"51,53,36,52,87,47,74,33,37,4,",3.5
Nicole,22,"33,79,27,75,9,72,59,63,54,71,",1.8
Jordan,23,"54,22,33,36,28,85,47,22,41,79,",1.0
Frederick,24,"50,37,55,57,25,10,89,63,88,49,",4.1
Mike,25,"31,5,55,45,27,66,58,71,52,41,",0.9
Kristian,26,"29,45,57,67,70,51,36,33,37,34,",3.4
Hailey,27,"67,71,32,35,59,46,48,24,13,41,",3.8
John,28,"33,37,89,17,62,64,49,70,82,4,",1.0
Ryan,29,"28,57,46,47,10,60,61,44,7,47,",0.3
Edwin,30,"46,86,11,89,45,53,58,8,60,46,",2.0
Ashton,31,"70,4,12,17,48,47,29,67,74,57,",1.6
Roland,32,"73,23,22,78,32,35,31,33,69,38,",3.9
Mike,33,"72,10,17,81,71,53,43,46,59,81,",0.2
Chelsea,34,"55,24,18,47,70,43,10,64,88,59,",1.3
Frederick,35,"46,85,35,48,51,47,69,21,52,5,",0.1
Amy,36,"25,30,70,5,51,15,23,16,50,58,",0.9
Sarah,37,"82,19,67,26,48,47,57,61,71,58,",1.0
Maximilian,38,"66,51,41,55,89,77,82,47,70,28,",2.7
Michael,39,"61,73,18,71,73,46,39,87,53,50,",2.8
Chloe,40,"34,68,30,40,61,33,63,46,48,24,",4.0
Natalie,41,"46,3,51,38,44,39,3,16,80,30,",2.8
Sarah,42,"89,6,78,54,86,67,6,19,89,51,",1.2
Carina,43,"19,74,30,68,56,77,47,60,43,83,",4.2
Brianna,44,"57,58,54,71,45,69,25,14,38,48,",1.7
Dexter,45,"37,31,57,36,12,34,68,75,33,37,",2.6
Chester,46,"55,9,19,16,47,63,17,40,6,12,",1.7
Sarah,47,"38,28,3,43,3,22,55,75,15,55,",1.4
Natalie,48,"49,35,73,58,43,29,45,14,62,65,",0.5
Daisy,49,"76,52,10,31,64,61,44,56,37,45,",0.1
Chester,50,"56,15,21,67,35,39,58,70,36,17,",2.4
Annabella,51,"77,20,87,29,89,28,83,47,63,46,",0.7
Adelaide,52,"5,74,41,62,66,47,44,63,61,83,",2.6
Abraham,53,"75,68,6,52,71,22,54,31,53,62,",3.2
Byron,54,"42,17,38,57,75,28,77,61,23,79,",2.6
Thomas,55,"2,24,24,56,37,88,50,30,55,22,",2.9
Maria,56,"66,28,72,86,41,37,61,45,33,48,",0.6
Camila,57,"46,7,32,68,40,31,49,86,44,26,",3.5
Adrian,58,"79,62,63,74,36,45,19,28,29,18,",3.3
Preston,59,"52,65,25,38,55,34,44,55,54,80,",1.3
Oliver,60,"53,37,44,45,81,42,62,66,75,43,",0.2
